,Authors,ISBN,ISBN-13,Language,Publisher,Title,Year
63,Rich Shapero,0971880107,9780971880108,en,Outside Reading,Wild Animus,2004
64,Michael Crichton,0345402871,9780345402875,en,"Random House Digital, Inc.",Airframe,1997
65,Michael Crichton,0345417623,9780345417626,en,,Timeline,2000
66,Clive Staples Lewis,0684823802,9780684823805,en,Scribner,Out Of The Silent Planet,1996
67,Arthur Phillips,0375759778,9780375759772,en,Random House Trade Paperbacks,Prague: A Novel,2003
68,Stephan Jaramillo,0425163091,9780425163092,en,Berkley Publishing Group,Chocolate Jesus,1998
69,Mordecai Richler,3404921038,9783404921034,en,Bergisch Gladbach [Germany] : BLT,Barney's Version: A Novel,2002
70,Eleanor Cooney,3442353866,9783442353866,de,,Der Fluch der Kaiserin,2001
71,Daniel Altieri,3442353866,9783442353866,de,,Der Fluch der Kaiserin,2001
72,Charlotte Link,3442410665,9783442410668,de,,Sturmzeit: Roman,1991
73,Richard North Patterson,3442446937,9783442446933,,Goldmann,Tage der Unschuld,2000
74,Mark Salzman,0375406328,9780375406324,en,Alfred A. Knopf,Lying Awake,2000
75,Vojo Rakić,0446310786,9780446310789,sr,,To kill a mockingbird,1959
76,Laura Hillenbrand,0449005615,9780449005613,en,"Random House Digital, Inc.",Seabiscuit: An American Legend,2001
77,Barbara Kingsolver,0060168013,9780060168018,en,"New York, NY : HarperCollins",Pigs In Heaven: A Novel,1993
78,Jo Dereske,038078243X,9780380782437,en,Harper Collins,Miss Zukas And The Raven's Dance,1996
79,Mark P. O. Morford,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
80,Robert J. Lenardon,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
81,Richard Bruce Wright,0002005018,9780002005012,,HarperFlamingoCanada,Clara Callan: a novel,2001
82,Carlo D'Este,0060973129,9780060973124,en,Harper Perennial,Decision In Normandy,1983
83,Gina Bari Kolata,0374157065,9780374157067,en,Macmillan,Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,1999
84,E. J. W. Barber,0393045218,9780393045215,en,W. W. Norton,The mummies of Ürümchi,1999
85,Amy Tan,0399135782,9780399135781,en,Putnam Pub Group,The Kitchen God's Wife,1991
86,Robert Cowley,0425176428,9780425176429,en,Berkley Publishing Group,What If?: The World's Foremost Military Historians Imagine What Might Have Been: Essays,2000
87,Stephen E. Ambrose,0425176428,9780425176429,en,Berkley Publishing Group,What If?: The World's Foremost Military Historians Imagine What Might Have Been: Essays,2000
88,Scott Turow,0671870432,9780671870430,,,Pleading guilty,2017
89,David Cordingly,0679425608,9780679425601,en,Random House Incorporated,Under The Black Flag: The Romance And The Reality Of Life Among The Pirates,1996
90,Ann Beattie,074322678X,9780743226783,en,Scribner,"Where You'll Find Me, And Other Stories",2002
91,David Adams Richards,0771074670,9780771074677,en,Emblem Editions,Nights Below Station Street,1997
92,Kensington,080652121X,9780806521213,,Citadel,Hitler's secret bankers: the myth of Swiss neutrality during the Holocaust,2000
93,Sheila Heti,0887841740,9780887841743,en,House of Anansi,The Middle Stories,2001
94,R. J. Kaiser,1552041778,9781552041772,,Mira Books,Jane Doe,1999
95,Jack Canfield,1558746218,9781558746213,en,Hci,A Second Chicken Soup For The Woman's Soul: 101 More Stories To Open The Hearts And Rekindle The Spirits Of Women,1998
96,Loren D. Estleman,1567407781,9781567407785,,Nova Audio Books,"Witchfinder, The (Amos Walker)",1998
97,Robert Hendrickson,1575663937,9781575663937,en,Kensington Publishing Corporation,More Cunning Than Man: A Social History Of Rats And Men,1999
98,Julia Oliver,1881320189,9781881320180,en,River City Pub,Goodbye To The Buttermilk Sky,1994
99,John Grisham,0440234743,9780440234746,en,Island Books,The Testament,1999
100,Toni Morrison,0452264464,9780452264465,en,Plume Books,Beloved: A Novel,1988
101,Scott Dikkers,0609804618,9780609804612,,Three Rivers Press,Our dumb century,1999
102,Celia Brooks Brown,1841721522,9781841721521,en,,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,2001
103,Philip Webb,1841721522,9781841721521,en,,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,2001
104,J. R. Parrish,1879384493,9781879384491,en,J.R. Parrish,If I'd Known Then What I Know Now: Why Not Learn From The Mistakes Of Others?--You Can't Make Them All Yourself!,2003
105,Mary-Kate & Ashley Olsen,0061076031,9780061076039,en,Harper Collins,Mary-Kate &Amp;Amp; Ashley Starring In Switching Goals,2000
106,Robynn Clairday,0439095026,9780439095020,en,Scholastic Paperbacks,Tell Me This Isn't Happening,1999
107,Kathleen Duey,0689821166,9780689821165,en,Simon and Schuster,"Flood Mississippi, 1927",1998
108,Karen A. Bale,0689821166,9780689821165,en,Simon and Schuster,"Flood Mississippi, 1927",1998
109,Rich Shapero,0971880107,9780971880108,en,Outside Reading,Wild Animus,2004
110,Michael Crichton,0345402871,9780345402875,en,"Random House Digital, Inc.",Airframe,1997
111,Michael Crichton,0345417623,9780345417626,en,,Timeline,2000
112,Clive Staples Lewis,0684823802,9780684823805,en,Scribner,Out Of The Silent Planet,1996
113,Arthur Phillips,0375759778,9780375759772,en,Random House Trade Paperbacks,Prague: A Novel,2003
114,Stephan Jaramillo,0425163091,9780425163092,en,Berkley Publishing Group,Chocolate Jesus,1998
115,Mordecai Richler,3404921038,9783404921034,en,Bergisch Gladbach [Germany] : BLT,Barney's Version: A Novel,2002
116,Eleanor Cooney,3442353866,9783442353866,de,,Der Fluch der Kaiserin,2001
117,Daniel Altieri,3442353866,9783442353866,de,,Der Fluch der Kaiserin,2001
118,Charlotte Link,3442410665,9783442410668,de,,Sturmzeit: Roman,1991
119,Richard North Patterson,3442446937,9783442446933,,Goldmann,Tage der Unschuld,2000
120,Mark Salzman,0375406328,9780375406324,en,Alfred A. Knopf,Lying Awake,2000
121,Vojo Rakić,0446310786,9780446310789,sr,,To kill a mockingbird,1959
122,Laura Hillenbrand,0449005615,9780449005613,en,"Random House Digital, Inc.",Seabiscuit: An American Legend,2001
123,Barbara Kingsolver,0060168013,9780060168018,en,"New York, NY : HarperCollins",Pigs In Heaven: A Novel,1993
124,Jo Dereske,038078243X,9780380782437,en,Harper Collins,Miss Zukas And The Raven's Dance,1996
125,Mark P. O. Morford,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
126,Robert J. Lenardon,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
127,Richard Bruce Wright,0002005018,9780002005012,,HarperFlamingoCanada,Clara Callan: a novel,2001
128,Carlo D'Este,0060973129,9780060973124,en,Harper Perennial,Decision In Normandy,1983
129,Gina Bari Kolata,0374157065,9780374157067,en,Macmillan,Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,1999
130,E. J. W. Barber,0393045218,9780393045215,en,W. W. Norton,The mummies of Ürümchi,1999
131,Amy Tan,0399135782,9780399135781,en,Putnam Pub Group,The Kitchen God's Wife,1991
132,Robert Cowley,0425176428,9780425176429,en,Berkley Publishing Group,What If?: The World's Foremost Military Historians Imagine What Might Have Been: Essays,2000
133,Stephen E. Ambrose,0425176428,9780425176429,en,Berkley Publishing Group,What If?: The World's Foremost Military Historians Imagine What Might Have Been: Essays,2000
134,Scott Turow,0671870432,9780671870430,,,Pleading guilty,2017
135,David Cordingly,0679425608,9780679425601,en,Random House Incorporated,Under The Black Flag: The Romance And The Reality Of Life Among The Pirates,1996
136,Ann Beattie,074322678X,9780743226783,en,Scribner,"Where You'll Find Me, And Other Stories",2002
137,David Adams Richards,0771074670,9780771074677,en,Emblem Editions,Nights Below Station Street,1997
138,Kensington,080652121X,9780806521213,,Citadel,Hitler's secret bankers: the myth of Swiss neutrality during the Holocaust,2000
139,Sheila Heti,0887841740,9780887841743,en,House of Anansi,The Middle Stories,2001
140,R. J. Kaiser,1552041778,9781552041772,,Mira Books,Jane Doe,1999
141,Jack Canfield,1558746218,9781558746213,en,Hci,A Second Chicken Soup For The Woman's Soul: 101 More Stories To Open The Hearts And Rekindle The Spirits Of Women,1998
142,Loren D. Estleman,1567407781,9781567407785,,Nova Audio Books,"Witchfinder, The (Amos Walker)",1998
143,Robert Hendrickson,1575663937,9781575663937,en,Kensington Publishing Corporation,More Cunning Than Man: A Social History Of Rats And Men,1999
144,Julia Oliver,1881320189,9781881320180,en,River City Pub,Goodbye To The Buttermilk Sky,1994
145,John Grisham,0440234743,9780440234746,en,Island Books,The Testament,1999
146,Toni Morrison,0452264464,9780452264465,en,Plume Books,Beloved: A Novel,1988
147,Scott Dikkers,0609804618,9780609804612,,Three Rivers Press,Our dumb century,1999
148,Celia Brooks Brown,1841721522,9781841721521,en,,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,2001
149,Philip Webb,1841721522,9781841721521,en,,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,2001
150,J. R. Parrish,1879384493,9781879384491,en,J.R. Parrish,If I'd Known Then What I Know Now: Why Not Learn From The Mistakes Of Others?--You Can't Make Them All Yourself!,2003
151,Mary-Kate & Ashley Olsen,0061076031,9780061076039,en,Harper Collins,Mary-Kate &Amp;Amp; Ashley Starring In Switching Goals,2000
152,Robynn Clairday,0439095026,9780439095020,en,Scholastic Paperbacks,Tell Me This Isn't Happening,1999
153,Kathleen Duey,0689821166,9780689821165,en,Simon and Schuster,"Flood Mississippi, 1927",1998
154,Karen A. Bale,0689821166,9780689821165,en,Simon and Schuster,"Flood Mississippi, 1927",1998
155,Rich Shapero,0971880107,9780971880108,en,Outside Reading,Wild Animus,2004
156,Michael Crichton,0345402871,9780345402875,en,"Random House Digital, Inc.",Airframe,1997
157,Michael Crichton,0345417623,9780345417626,en,,Timeline,2000
158,Clive Staples Lewis,0684823802,9780684823805,en,Scribner,Out Of The Silent Planet,1996
159,Arthur Phillips,0375759778,9780375759772,en,Random House Trade Paperbacks,Prague: A Novel,2003
160,Stephan Jaramillo,0425163091,9780425163092,en,Berkley Publishing Group,Chocolate Jesus,1998
161,Mordecai Richler,3404921038,9783404921034,en,Bergisch Gladbach [Germany] : BLT,Barney's Version: A Novel,2002
162,Eleanor Cooney,3442353866,9783442353866,de,,Der Fluch der Kaiserin,2001
163,Daniel Altieri,3442353866,9783442353866,de,,Der Fluch der Kaiserin,2001
164,Charlotte Link,3442410665,9783442410668,de,,Sturmzeit: Roman,1991
165,Richard North Patterson,3442446937,9783442446933,,Goldmann,Tage der Unschuld,2000
166,Mark Salzman,0375406328,9780375406324,en,Alfred A. Knopf,Lying Awake,2000
167,Vojo Rakić,0446310786,9780446310789,sr,,To kill a mockingbird,1959
168,Laura Hillenbrand,0449005615,9780449005613,en,"Random House Digital, Inc.",Seabiscuit: An American Legend,2001
169,Barbara Kingsolver,0060168013,9780060168018,en,"New York, NY : HarperCollins",Pigs In Heaven: A Novel,1993
170,Jo Dereske,038078243X,9780380782437,en,Harper Collins,Miss Zukas And The Raven's Dance,1996
171,Dolores Krieger,067176537X,9780671765378,en,Simon and Schuster,The Therapeutic Touch: How To Use Your Hands To Help Or To Heal,1979
172,Anne Rivers Siddons,0061099686,9780061099687,en,HarperTorch,Downtown: A Novel,1995
173,Dean Koontz,0553582909,9780553582901,en,Bantam,Icebound,2000
174,Mary Higgins Clark,0671888587,9780671888589,en,Pocket Books,I'll Be Seeing You: A Novel,1994
175,Dean Ray Koontz,0553582747,9780553582741,en,Bantam,From The Corner Of His Eye,2001
176,Patricia Cornwell,0425182908,9780425182901,en,Penguin,Isle Of Dogs,2002
177,J. D. Robb,042518630X,9780425186305,en,Penguin,Purity In Death,2002
178,Nora Roberts,042518630X,9780425186305,en,Penguin,Purity In Death,2002
179,Maeve Binchy,0440223571,9780440223573,en,Dell Publishing Company,This Year It Will Be Different And Other Stories: A Christmas Treasury,1997
180,Laura J. Mixon,0812523873,9780812523874,en,Tor Books,Proxies,1999
181,Tim Lahaye,0842342702,9780842342704,en,Tyndale House Pub,Left Behind: A Novel Of The Earth's Last Days,1998
182,Tim F. LaHaye,0842342702,9780842342704,en,Tyndale House Pub,Left Behind: A Novel Of The Earth's Last Days,1998
183,Jerry B. Jenkins,0842342702,9780842342704,en,Tyndale House Pub,Left Behind: A Novel Of The Earth's Last Days,1998
184,John Grisham,0440225701,9780440225706,en,Dell Publishing Company,The Street Lawyer,1998
185,Bernie S. Siegel,0060914068,9780060914066,en,HarperCollins Publishers,"Love, Medicine, &Amp;Amp; Miracles: Lessons Learned About Self-Healing From A Surgeon's Experience With Exceptional Patients",1988
186,Robert Penn Warren,0156047624,9780156047623,en,Harvest Books,All The King's Men,1982
187,Hans Johannes Hoefer,0245542957,9780245542954,,Chambers Harrap Publishers Ltd,The Pacific Northwest,1985
188,Mark Helprin,0380715899,9780380715893,en,,A Soldier Of The Great War,1992
189,Oscar Carl Simonton,0553280333,9780553280333,en,Bantam,"Getting Well Again: A Step-By-Step, Self-Help Guide To Overcoming Cancer For Patients And Their Families",1992
190,James L. Creighton,0553280333,9780553280333,en,Bantam,"Getting Well Again: A Step-By-Step, Self-Help Guide To Overcoming Cancer For Patients And Their Families",1992
191,Stephanie Matthews Simonton,0553280333,9780553280333,en,Bantam,"Getting Well Again: A Step-By-Step, Self-Help Guide To Overcoming Cancer For Patients And Their Families",1992
192,Chuck Hill,0961769947,9780961769949,en,,Northwest Wines &Amp;Amp; Wineries,1993
193,David Iglehart,0964778319,9780964778313,en,Sunflower Publishing Company,An Atmosphere Of Eternity: Stories Of India,2002
194,Larry McMurtry,0671623249,9780671623241,en,"Pocket Books ; Markham, Ont. : Distributed in Canada by PaperJacks, 1986",Lonesome Dove: A Novel,1986
195,Suzanne Fisher Staples,0679810307,9780679810308,en,Laurel Leaf,Shabanu: Daughter Of The Wind,1991
196,Suzanne Fisher Staples,0679865691,9780679865698,en,Laurel Leaf,Haveli,1995
197,Michel Tournier,2070423204,9782070423200,,Gallimard,Lieux dits,2002
198,Carl Sagan,0345260317,9780345260314,en,,The Dragons Of Eden: Speculations On The Evolution Of Human Intelligence,1978
199,Aleksandr Zinoviev,0394743741,9780394743745,,,The yawning heights,
200,Anne Tyler,042511774X,9780425117743,,Berkley Books,Breathing lessons,1989
201,Amy Tan,0804106304,9780804106306,en,Random House LLC,The Joy Luck Club,1990
202,Joseph Conrad,1853262404,9781853262401,en,Wordsworth Editions,"Heart Of Darkness: An Authoritative Text, Backgrounds And Sources, Criticism",1995
203,Deepak Chopra,0312970242,9780312970246,en,Macmillan,Deepak Chopra's The Angel Is Near,2000
204,Martin Greenberg,0312970242,9780312970246,en,Macmillan,Deepak Chopra's The Angel Is Near,2000
205,Thomas Hardy,1853260053,9781853260056,en,Wordsworth Editions,Tess Of The D'Urbervilles: An Authoritative Text ; Hardy And The Novel ; Criticism,1992
206,Charles Noland,1414035004,9781414035000,,Authorhouse,The Adventures of Drew and Ellie,2003
207,Valerie Frankel,0060938412,9780060938413,,Avon,The accidental virgin,2003
208,Benjamin Hoff,0140067477,9780140067477,en,Penguin Group USA,The Tao Of Pooh,1982
209,Laura Hillenbrand,0345465083,9780345465085,en,"Random House Digital, Inc.",Seabiscuit: An American Legend,2003
210,Niccolò Machiavelli,0451625889,9780451625885,en,Signet,The Prince And The Discourses,1952
211,H. Jackson Brown,1558531025,9781558531024,en,,Life's Little Instruction Book,1991
212,Robert Anson Heinlein,0441783589,9780441783588,en,Penguin,Starship Troopers,1987
213,Philip Pullman,0394895894,9780394895895,en,Random House of Canada,The Ruby In The Smoke,1985
214,Anna Sewell,1569871213,9781569871218,en,,Black Beauty,1995
215,Ron Huron,1569871213,9781569871218,en,,Black Beauty,1995
216,Michael Ondaatje,0375410538,9780375410536,en,Knopf,Anil's Ghost,2000
217,Sandra Levy Ceren,0966986105,9780966986105,en,Andrew Scott Pub,Prescription For Terror,1999
218,P. J. O'Rourke,087113375X,9780871133755,,Atlantic Monthly Press,Modern manners: an etiquette book for rude people,1990
219,Mike Gayle,0340767936,9780340767931,,Hodder & Stoughton General Division,Turning thirty,2000
220,Stel Pavlou,0743403843,9780743403849,,Pocket Books,Decipher,2002
221,Sarah Payne Stuart,0060930365,9780060930363,,Harper Perennial,"My first cousin once removed: money, madness, and the family of Robert Lowell",1999
222,Dan Quayle,0060177586,9780060177584,en,HarperCollins Publishers,Standing Firm: A Vice-Presidential Memoir,1994
223,Donald F. Kettl,0071416331,9780071416337,,McGraw-Hill,Team Bush: leadership lessons from the Bush White House,2003
224,David Frum,0375509038,9780375509032,en,Random House Incorporated,The Right Man: The Surprise Presidency Of George W. Bush,2003
225,Louis L'Amour,0553062042,9780553062045,,Bantam Doubleday Dell,The daybreakers,1981
226,J.D. Salinger,0316769487,9780316769488,en,"Little, Brown",The Catcher In The Rye,1991
227,John Ronald Reuel Tolkien,8445071408,9788445071403,es,Planeta Publishing,The fellowship of the ring,1991
228,J. R. R. Tolkien,8445071769,9788445071762,,Minotauro,El señor de los anillos,1977
229,John Ronald Reuel Tolkien,8445071777,9788445071779,es,Distribooks,The return of the king,1991
230,John Berendt,0679429220,9780679429227,en,Random House Incorporated,Midnight In The Garden Of Good And Evil: A Savannah Story,1994
231,Mary Higgins Clark,0671867156,9780671867157,en,Simon and Schuster,Pretend You Don't See Her: A Novel,1997
232,Jennifer Crusie,0312252617,9780312252618,en,St Martins Press,Fast Women,2001
233,Jane Heller,0312261594,9780312261597,,St. Martin's Press,Female intelligence,2001
234,Michael Rips,0316748641,9780316748643,en,Back Bay Books,Pasquale's Nose,2002
235,Simon Mawer,0316973742,9780316973748,en,Back Bay Books,The Gospel Of Judas: A Novel,2002
236,William Abrahams,0385235941,9780385235945,,Doubleday,Prize stories 1987: the O. Henry awards,1987
237,Mark P. O. Morford,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
238,Robert J. Lenardon,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
239,Richard Bruce Wright,0002005018,9780002005012,,HarperFlamingoCanada,Clara Callan: a novel,2001
240,Carlo D'Este,0060973129,9780060973124,en,Harper Perennial,Decision In Normandy,1983
241,Gina Bari Kolata,0374157065,9780374157067,en,Macmillan,Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,1999
242,E. J. W. Barber,0393045218,9780393045215,en,W. W. Norton,The mummies of Ürümchi,1999
243,Amy Tan,0399135782,9780399135781,en,Putnam Pub Group,The Kitchen God's Wife,1991
244,Robert Cowley,0425176428,9780425176429,en,Berkley Publishing Group,What If?: The World's Foremost Military Historians Imagine What Might Have Been: Essays,2000
245,Stephen E. Ambrose,0425176428,9780425176429,en,Berkley Publishing Group,What If?: The World's Foremost Military Historians Imagine What Might Have Been: Essays,2000
246,Scott Turow,0671870432,9780671870430,,,Pleading guilty,2017
247,David Cordingly,0679425608,9780679425601,en,Random House Incorporated,Under The Black Flag: The Romance And The Reality Of Life Among The Pirates,1996
248,Ann Beattie,074322678X,9780743226783,en,Scribner,"Where You'll Find Me, And Other Stories",2002
249,David Adams Richards,0771074670,9780771074677,en,Emblem Editions,Nights Below Station Street,1997
250,Kensington,080652121X,9780806521213,,Citadel,Hitler's secret bankers: the myth of Swiss neutrality during the Holocaust,2000
251,Sheila Heti,0887841740,9780887841743,en,House of Anansi,The Middle Stories,2001
252,R. J. Kaiser,1552041778,9781552041772,,Mira Books,Jane Doe,1999
253,Jack Canfield,1558746218,9781558746213,en,Hci,A Second Chicken Soup For The Woman's Soul: 101 More Stories To Open The Hearts And Rekindle The Spirits Of Women,1998
254,Loren D. Estleman,1567407781,9781567407785,,Nova Audio Books,"Witchfinder, The (Amos Walker)",1998
255,Robert Hendrickson,1575663937,9781575663937,en,Kensington Publishing Corporation,More Cunning Than Man: A Social History Of Rats And Men,1999
256,Julia Oliver,1881320189,9781881320180,en,River City Pub,Goodbye To The Buttermilk Sky,1994
257,John Grisham,0440234743,9780440234746,en,Island Books,The Testament,1999
258,Toni Morrison,0452264464,9780452264465,en,Plume Books,Beloved: A Novel,1988
259,Scott Dikkers,0609804618,9780609804612,,Three Rivers Press,Our dumb century,1999
260,Celia Brooks Brown,1841721522,9781841721521,en,,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,2001
261,Philip Webb,1841721522,9781841721521,en,,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,2001
262,J. R. Parrish,1879384493,9781879384491,en,J.R. Parrish,If I'd Known Then What I Know Now: Why Not Learn From The Mistakes Of Others?--You Can't Make Them All Yourself!,2003
263,Mary-Kate & Ashley Olsen,0061076031,9780061076039,en,Harper Collins,Mary-Kate &Amp;Amp; Ashley Starring In Switching Goals,2000
264,Robynn Clairday,0439095026,9780439095020,en,Scholastic Paperbacks,Tell Me This Isn't Happening,1999
265,Kathleen Duey,0689821166,9780689821165,en,Simon and Schuster,"Flood Mississippi, 1927",1998
266,Karen A. Bale,0689821166,9780689821165,en,Simon and Schuster,"Flood Mississippi, 1927",1998
267,Rich Shapero,0971880107,9780971880108,en,Outside Reading,Wild Animus,2004
